Ano	max1t	max2t	max3t	max4t
1939	63.0	13.0	10.0	55.0
1940	89.0	34.0	22.0	43.0
1941	77.0	31.0	38.0	53.0
1942	81.0	38.0	39.0	48.0
1943	134.0	22.0	27.0	33.0
1944	75.0	25.0	10.0	39.0
1945	126.0	21.0	13.0	59.0
1946	106.0	35.0	13.0	70.0
1947	91.0	21.0	46.0	143.0
1948	59.0	14.0	20.0	116.0
1949	102.0	31.0	7.0	61.0
1950	58.0	45.0	9.0	84.0
1951	86.0	21.0	11.0	47.0
1952	79.0	79.0	60.0	81.0
1953	40.0	26.0	33.0	42.0
1954	50.0	36.0	18.0	26.0
1955	86.0	24.0	2.0	71.0
1956	58.0	35.0	21.0	66.0
1957	46.0	72.0	40.0	59.0
1958	46.0	41.0	40.0	62.0
1959	51.0	15.0	45.0	63.0
1960	73.0	19.0	14.0	65.0
1961	120.0	49.0	8.0	55.0
1962	57.0	15.0	50.0	68.0
1963	47.0	18.0	5.0	40.0
1964	85.0	21.0	19.0	72.0
1965	63.0	32.0	31.0	129.0
1966	120.0	42.0	20.0	56.0
1967	84.0	19.0	16.0	65.0
1968	85.0	37.0	25.0	57.0
1969	88.0	27.0	62.0	62.0
1970	79.0	19.0	32.0	58.0
1971	52.0	36.0	39.0	51.0
1972	67.0	15.0	61.0	61.0
1973	68.0	65.0	31.0	67.0
1974	42.0	40.0	2.0	49.0
1975	47.0	42.0	15.0	82.0
1976	47.0	25.0	72.0	62.0
1977	77.0	31.0	36.0	82.0
1978	121.0	25.0	23.0	60.0
1979	60.0	21.0	23.0	53.0
1980	47.0	54.0	24.0	96.0
1981	58.0	25.0	17.0	120.0
1982	89.0	25.0	24.0	57.0
1983	77.0	46.0	56.0	79.0
1984	45.0	33.0	29.0	45.0
1985	58.0	35.0	30.0	56.0
1986	55.0	27.0	25.0	93.0
1987	74.0	38.0	21.0	51.0
1988	65.0	44.0	5.0	67.0
1989	57.0	46.0	30.0	38.0
1990	57.0	62.0	40.0	58.0
1991	104.0	58.0	58.0	90.0
1992	83.0	16.0	47.0	89.0
1993	60.0	28.0	31.0	44.0
1994	79.0	90.0	9.0	185.0
1995	58.0	34.0	48.0	80.0
1996	54.0	19.0	53.0	98.0
1997	78.0	29.0	23.0	45.0
1998	79.0	58.0	17.0	55.0
1999	55.0	15.0	14.0	66.0
2000	141.0	25.0	60.0	73.0
2001	94.0	24.0	12.0	97.0
2002	141.0	60.0	29.0	64.0
2003	94.0	38.0	21.0	67.0
2004	105.0	46.0	35.0	93.0
2005	90.0	70.0	15.0	53.0
2006	129.0	23.0	23.0	55.0
2007	40.0	37.0	10.0	60.0
2008	160.0	8.0	16.0	54.0
2009	40.0	22.0	48.0	79.0
2010	54.0	48.0	24.0	59.0
2011	62.0	8.0	29.0	103.0
2012	103.0	46.0	59.0	94.0
2013	46.0	29.0	47.0	92.0
2014	90.0	24.0	12.0	46.0
2015	42.0	34.0	24.0	59.0
2016	141.0	34.0	32.0	65.0
2017	122.0	122.0	23.0	51.0
2018	59.0	48.0	31.0	58.0
2019	53.0	28.0	34.0	58.0
2020	98.0	22.0	20.0	35.0
