Ano	max_Tere_ano		Ano	Max_Petr_ano		ano	Max_jf_ano
1943	57.2		1943	134.3		1943	55.0
1944	82.2		1944	75.0		1944	95.4
1945	62.1		1945	126.0		1945	72.3
1946	75.4		1946	106.5		1946	41.4
1947	94.2		1947	143.0		1947	93.8
1948	97.4		1948	116.0		1948	50.1
1949	61.2		1949	102.2		1949	59.5
1950	65		1950	84.5		1950	48.2
1951	52.9		1951	86.0		1951	82.0
1952	106.4		1952	81.8		1952	120.2
1953	66.9		1953	42.1		1953	52.0
1954	46		1954	50.0		1954	36.1
1955	60.4		1955	86.0		1955	78.0
1956	92.2		1956	66.1		1956	104.0
1957	51.2		1957	72.6		1957	101.0
1958	82		1958	62.0		1958	37.1
1959	99.2		1959	63.9		1959	47.2
1960	60		1960	73.2		1960	53.3
1961	81.9		1961	120.1		1961	81.2
1962	112		1962	68.2		1962	80.3
1963	41.8		1963	47.0		1963	77.3
1964	50.2		1964	85.3		1964	100.3
1965	87		1965	129.2		1965	84.2
1966	72.4		1966	120.4		1966	86.3
1967	78		1967	84.2		1967	50.5
1968	68		1968	85.5		1968	77.6
1969	90		1969	88.0		1969	71.8
1970	41.7		1970	79.8		1970	45.1
1971	60.4		1971	52.2		1971	100.4
1972	50.8		1972	67.5		1972	85.8
1973	50		1973	68.0		1973	56.4
1974	81		1974	49.9		1974	70.4
1975	81		1975	82.0		1975	50.1
1976	56		1976	72.5		1976	78.3
1977	75		1977	82.0		1977	66.1
1978	62.4		1978	121.2		1978	93.4
1979	68.6		1979	60.8		1979	93.4
1980	95.2		1980	96.6		1980	69.1
1981	81.2		1981	120.1		1981	58.0
1982	92.8		1982	89.0		1982	96.1
1983	72		1983	79.0		1983	109.9
1984	92.4		1984	45.3		1984	69.5
1985	88.6		1985	58.0		1985	45.0
1986	45.8		1986	93.1		1986	108.1
1987	67.8		1987	74.1		1987	93.3
1988	91.4		1988	67.5		1988	58.6
1989	73.8		1989	57.2		1989	66.2
1990	55.8		1990	62.0		1990	62.5
1991	71.2		1991	104.8		1991	63.5
1992	120.6		1992	89.6		1992	68.0
1993	53.6		1993	60.1		1993	70.7
1994	81		1994	185.8		1994	136.0
1995	70.4		1995	80.7		1995	65.5
1996	105.8		1996	98.9		1996	86.9
1997	84.8		1997	78.5		1997	60.0
1998	69		1998	79.4		1998	98.2
1999	75		1999	66.2		1999	96.7
2000	59.5		2000	113.6		2000	70.3
2001	81.9		2001	97.8		2001	59.3
2002	105.7		2002	64.4		2002	80.6
2003	47.9		2003	105.2		2003	97.2
2004	54.7		2004	93.6		2004	90.0
2005	87		2005	129.9		2005	93.9
2006	54.5		2006	55.9		2006	76.5
2007	138.7		2007	160.4		2007	141.4
2008	74.7		2008	54.1		2008	163.2
2009	84.3		2009	79.3		2009	145.6
2010	80.7		2010	60.6		2010	96.8
2011	145.5		2011	87.2		2011	85.4
2012	96.2		2012	103.3		2012	86.3
2013	78		2013	92.4		2013	103.5
2014	67.9		2014	90.0		2014	139.8
2015	67		2015	59.2		2015	116.5
2016	98.8		2016	141.3		2016	98.6
2017	97		2017	122.0		2017	85.4
2018	63.3		2018	59.3		2018	185.4
2019	53		2019	58.3		2019	111.0
2020	112.6		2020	98.1		2020	77.3
